Nation,Population,Exists,First_App,Medal,S_Medal,W_Medal,Appearances (Total),Medals (Total),Gold,Silver,Bronze,Appearances (Summer),Medals (Summer),SO_Gold,SO_Silver,SO_Bronze,Appearances (Winter),Medals (Winter),WO_Gold,WO_Silver,WO_Bronze,MostSuccessfulSport,Medals,Golds,Silvers,Bronzes,id,Hosts (Total),Hosts (Summer),Hosts (Winter),HostInfo,RecordsM,RecordsW,Flag,Medals (Per capita),Aeronautics,Alpine Skiing,Alpinism,Archery,Art Competitions,Athletics,Badminton,Baseball,Basketball,Basque Pelota,Beach Volleyball,Biathlon,Bobsleigh,Boxing,Canoeing,Cricket,Croquet,Cross Country Skiing,Curling,Cycling,Diving,Equestrianism,Fencing,Figure Skating,Football,Freestyle Skiing,Golf,Gymnastics,Handball,Hockey,Ice Hockey,Jeu De Paume,Judo,Lacrosse,Luge,Military Ski Patrol,Modern Pentathlon,Motorboating,Nordic Combined,Polo,Racquets,Rhythmic Gymnastics,Roque,Rowing,Rugby,Rugby Sevens,Sailing,Shooting,Short Track Speed Skating,Skeleton,Ski Jumping,Snowboarding,Softball,Speed Skating,Swimming,Synchronized Swimming,Table Tennis,Taekwondo,Tennis,Trampolining,Triathlon,Tug-Of-War,Volleyball,Water Polo,Weightlifting,Wrestling
Montenegro,628960,YES,2008,0.17,0.33,0.00,6,1,0,1,0,3,1,0,1,0,3,0,0,0,0,Handball,1,0,1,0,MNE,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Montenegro.svg,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,35739580,YES,1960,1.10,1.64,0.00,21,24,7,5,12,14,24,7,5,12,7,0,0,0,0,Athletics,19,6,5,8,MAR,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg,0.67,0,0,0,0,0,19,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,29668834,YES,1980,0.20,0.20,0.00,10,2,1,0,1,10,2,1,0,1,0,0,0,0,0,Athletics,2,1,0,1,MOZ,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Mozambique.svg,0.07,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,53370609,YES,1948,0.00,0.00,0.00,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,-,0,0,0,0,MMR,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/8/8c/Flag_of_Myanmar.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,2533794,YES,1992,0.57,0.57,0.00,7,5,0,5,0,7,5,0,5,0,0,0,0,0,0,Athletics,4,0,4,0,NAM,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Namibia.svg,1.97,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,11359,YES,1996,0.00,0.00,0.00,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,-,0,0,0,0,NRU,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/3/30/Flag_of_Nauru.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,29304998,YES,1964,0.00,0.00,0.00,17,0,0,0,0,13,0,0,0,0,4,0,0,0,0,-,0,0,0,0,NPL,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/9/9b/Flag_of_Nepal.svg,0.00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,17035938,YES,1900,8.83,10.96,6.19,47,451,140,148,163,26,321,95,104,122,21,130,45,44,41,Speed Skating,121,42,40,39,NLD,1,1,0,1928 Summer Olympics (Amsterdam),,,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,26.47,0,0,0,9,7,22,1,0,0,0,2,0,0,7,12,0,0,0,0,67,0,56,31,3,42,0,0,12,0,255,0,0,23,0,0,0,0,0,0,0,0,0,0,139,0,0,43,6,1,0,0,1,0,117,114,0,0,0,4,0,0,8,24,31,3,0
Netherlands Antilles,227049,NO,1952,0.07,0.08,0.00,15,1,0,1,0,13,1,0,1,0,2,0,0,0,0,Sailing,1,0,1,0,BES,0,0,0,,,,,4.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,4705818,YES,1920,3.08,5.09,0.19,39,140,53,34,53,23,137,53,33,51,16,3,0,1,2,Rowing,24,11,3,10,NZL,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg,29.75,0,1,0,0,0,24,0,0,0,0,0,0,0,3,18,0,0,0,0,18,0,23,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,12,33,2,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,1,0,0
Nicaragua,6217581,YES,1968,0.00,0.00,0.00,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,-,0,0,0,0,NIC,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Nicaragua.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,21477348,YES,1964,0.17,0.17,0.00,12,2,0,1,1,12,2,0,1,1,0,0,0,0,0,Taekwondo,1,0,1,0,NER,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/f/f4/Flag_of_Niger.svg,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nigeria,190886311,YES,1952,1.47,1.56,0.00,17,27,3,11,13,16,27,3,11,13,1,0,0,0,0,Athletics,13,2,5,6,NGA,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Nigeria.svg,0.14,0,0,0,0,0,41,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
North Borneo,3540000,NO,1956,0.00,0.00,0.00,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-,0,0,0,0,XNB,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,5305383,YES,1900,10.83,6.08,16.00,48,528,192,176,160,25,160,60,51,49,23,368,132,125,111,Cross Country Skiing,121,47,42,32,NOR,2,0,2,"1952 Winter Olympics (Oslo), 1994 Winter Olympics (Lillehammer)","1.500 meters:, Jakob Ingebrigtsen 3:28.32 min, 400 meters hurdles:, Karsten Warholm 45.94 sec, Javelin throw:, Andreas Thorkildsen 90.57 m",,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg,99.52,0,29,0,0,1,20,0,0,0,0,0,62,0,5,22,0,0,164,14,4,0,3,1,7,47,8,0,121,85,0,0,0,0,0,0,0,0,0,40,0,0,0,0,61,0,0,125,77,0,0,39,4,0,80,2,0,0,2,1,0,0,0,0,0,1,8
Oman,4636262,YES,1984,0.00,0.00,0.00,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,-,0,0,0,0,OMN,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Oman.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,197015955,YES,1948,0.50,0.59,0.00,20,10,3,3,4,17,10,3,3,4,3,0,0,0,0,Field Hockey,8,3,3,2,PAK,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/3/32/Flag_of_Pakistan.svg,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Palau,21729,YES,2000,0.00,0.00,0.00,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,-,0,0,0,0,PLW,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Palau.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestine,4920724,YES,1996,0.00,0.00,0.00,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,-,0,0,0,0,PSE,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,4098587,YES,1928,0.18,0.18,0.00,17,3,1,0,2,17,3,1,0,2,0,0,0,0,0,Athletics,3,1,0,2,PAN,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/a/ab/Flag_of_Panama.svg,0.73,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,8251162,YES,1976,0.00,0.00,0.00,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,-,0,0,0,0,PNG,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/e/e3/Flag_of_Papua_New_Guinea.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,6811297,YES,1968,0.08,0.08,0.00,13,1,0,1,0,12,1,0,1,0,1,0,0,0,0,Football,1,0,1,0,PRY,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Paraguay.svg,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,32165485,YES,1900,0.20,0.22,0.00,20,4,1,3,0,18,4,1,3,0,2,0,0,0,0,Shooting,3,1,2,0,PER,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Peru.svg,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Philippines,104918090,YES,1924,0.38,0.48,0.00,26,14,1,5,8,21,14,1,5,8,5,0,0,0,0,Boxing,5,0,2,3,PHL,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_the_Philippines.svg,0.13,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
Poland,38170712,YES,1924,6.95,13.52,0.96,44,320,79,95,146,21,298,72,88,138,23,22,7,7,8,Athletics,57,25,18,14,POL,0,0,0,,,"Hammer throw:, Anita WÅodarczyk 82.29 m",https://upload.wikimedia.org/wikipedia/en/1/12/Flag_of_Poland.svg,8.38,0,0,0,4,8,72,0,0,0,0,0,1,0,43,37,0,0,5,0,24,0,15,82,0,50,0,0,9,14,0,0,0,8,0,0,0,6,0,1,0,0,0,0,52,0,0,4,12,0,0,7,0,0,13,6,0,0,0,0,0,0,0,34,0,32,26
Portugal,10329506,YES,1912,0.75,1.00,0.00,32,28,5,9,14,24,28,5,9,14,8,0,0,0,0,Athletics,10,4,2,4,PRT,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg,2.71,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,10,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Puerto Rico,3663131,YES,1948,0.36,0.50,0.00,25,10,2,2,6,18,10,2,2,6,7,0,0,0,0,Tennis,1,1,0,0,PRI,0,0,0,,,"100 meters hurdles:, Jasmine Camacho-Quinn 12.26 sec",,2.73,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Qatar,2639211,YES,1984,0.56,0.56,0.00,9,8,2,1,5,9,8,2,1,5,0,0,0,0,0,Athletics,3,0,1,2,QAT,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Qatar.svg,3.03,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Romania,19679306,YES,1900,7.31,14.57,0.05,42,311,90,98,123,21,310,90,98,122,21,1,0,0,1,Gymnastics,72,25,21,26,ROU,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Romania.svg,15.80,0,0,0,0,0,35,0,0,0,0,0,0,2,25,67,0,0,0,0,0,0,4,47,0,0,0,0,135,58,0,0,0,6,0,0,0,0,0,0,0,0,1,0,175,16,0,0,15,0,0,0,0,0,0,9,0,0,0,2,0,0,0,10,0,13,33
Russia,143989754,YES,1994,45.67,71.33,20.00,12,619,216,191,212,6,499,169,153,177,6,120,47,38,35,Wrestling,56,30,11,15,RUS,2,1,1,"1980 Summer Olympics (Moscow), 2014 Winter Olympics (Sochi)","Hammer Throw:, Sergey Litvinov 84.80 m (USSR)","800 meters:, Nadezhda Olizarenko 1:53.43 min (USSR), 3 000 m Steeplechase:, Gulnara Galkina-Samitova 8:58.81 min, 4x400 m relay:, Tatyana Ledovskay, Olga Nazarova, Mariya Pinigina, Olga Bryzgina 3:15.17 min (USSR), 20 km walk:, Elena Lashmanova 1:25:02 hr, High jump:, Yelena Slesarenko 2.06 m, Pole vault:, Yelena Isinbayeva",https://upload.wikimedia.org/wikipedia/en/f/f3/Flag_of_Russia.svg,4.30,0,1,0,4,0,103,2,0,36,0,0,57,12,30,22,0,0,49,0,24,27,0,62,52,0,4,0,83,58,0,43,0,16,0,6,0,5,0,1,0,0,45,0,18,0,0,11,36,8,3,0,5,0,20,43,54,0,4,10,4,0,0,70,51,26,60
Russian Empire,181500000,NO,1900,2.67,2.67,0.00,3,8,1,4,3,3,8,1,4,3,0,0,0,0,0,Wrestling,3,0,3,0,XRE,0,0,0,,,,,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,12208407,YES,1984,0.00,0.00,0.00,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,-,0,0,0,0,RWA,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Rwanda.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saar,995600,NO,1952,0.00,0.00,0.00,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-,0,0,0,0,XSA,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,55345,YES,1996,0.00,0.00,0.00,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,-,0,0,0,0,KNA,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Saint_Kitts_and_Nevis.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,178844,YES,1996,0.00,0.00,0.00,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,-,0,0,0,0,LCA,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Saint_Lucia.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,109897,YES,1988,0.00,0.00,0.00,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,-,0,0,0,0,VCT,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,196440,YES,1984,0.11,0.11,0.00,9,1,0,1,0,9,1,0,1,0,0,0,0,0,0,Weightlifting,1,0,1,0,WSM,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Samoa.svg,5.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino,33400,YES,1960,0.00,0.00,0.00,14,3,0,1,2,14,3,0,1,2,0,0,0,0,0,-,0,0,0,0,SMR,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/b/b1/Flag_of_San_Marino.svg,89.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Tomé and Príncipe,199910,YES,1996,0.00,0.00,0.00,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,-,0,0,0,0,STP,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,32938213,YES,1972,0.27,0.27,0.00,11,4,0,2,2,11,4,0,2,2,0,0,0,0,0,Equestrian,3,0,1,2,SAU,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Saudi_Arabia.svg,0.12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,15850567,YES,1964,0.05,0.07,0.00,19,1,0,1,0,14,1,0,1,0,5,0,0,0,0,Athletics,1,0,1,0,SEN,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/f/fd/Flag_of_Senegal.svg,0.06,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,8790574,YES,1912,2.14,3.75,0.00,7,24,6,7,11,4,24,6,7,11,3,0,0,0,0,Waterpolo,3,1,0,2,SRB,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Serbia.svg,2.73,0,0,0,0,0,1,0,0,24,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,1,0,0,0,12,39,0,1
Serbia and Montenegro,9419534,YES,2004,1.00,2.00,0.00,2,2,0,2,0,1,2,0,2,0,1,0,0,0,0,Waterpolo,1,0,1,0,XSM,0,0,0,,,,,0.21,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,0,0
Seychelles,94737,YES,1980,0.00,0.00,0.00,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,-,0,0,0,0,SYC,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Seychelles.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,7557212,YES,1968,0.00,0.00,0.00,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,-,0,0,0,0,SLE,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Sierra_Leone.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,5708844,YES,1948,0.29,0.31,0.00,17,5,1,2,2,16,5,1,2,2,1,0,0,0,0,Table tennis,3,0,1,2,SGP,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Singapore.svg,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0
Slovakia,5447662,YES,1994,2.77,4.67,1.14,13,40,13,18,9,6,32,10,14,8,7,8,3,4,1,Biathlon,7,3,3,1,SVK,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/e/e6/Flag_of_Slovakia.svg,7.34,0,0,0,0,0,1,0,0,0,0,0,4,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1
Slovenia,2079976,YES,1992,2.67,3.29,2.13,15,45,10,14,21,7,28,8,9,11,8,17,2,5,10,Alpine Skiing,7,2,2,3,SVN,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/f/f0/Flag_of_Slovenia.svg,21.63,0,7,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,12,0,0,3,3,0,0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,611343,YES,1984,0.00,0.00,0.00,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,-,0,0,0,0,SLB,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/7/74/Flag_of_the_Solomon_Islands.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,14742523,YES,1972,0.00,0.00,0.00,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,-,0,0,0,0,SOM,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_Somalia.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
